model,n_clusters,silhouette,noise_pct,max_cluster_pct,min_cluster_pct
K-Means,5,0.20596087278793238,0.0,0.28014842300556586,0.01020408163265306
Agglomerative,5,0.17670372954377828,0.0,0.41883116883116883,0.009972170686456401
DBSCAN,2,0.5715693895378472,0.011595547309833023,0.985621521335807,0.0027829313543599257
