k,inertia,silhouette,selected
2,23142.285619434067,0.3021161559550698,False
3,19674.44571869948,0.2353514299575663,False
4,17358.370134129178,0.22991202069360517,False
5,15389.063603154273,0.20596087278793238,True
6,13887.873890492778,0.20910231255341735,False
7,12552.480885681558,0.21383609075199567,False
8,11872.547621385434,0.19310109559951377,False
9,11324.779899093626,0.185409407839791,False
10,10825.905370511095,0.17880283607523045,False
